Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class,Class_name
-0.8387997741445266,-1.1396627344211203,-1.301976153423857,-0.6321108464801986,-1.5653626594103027,-2.1828330624658445,-0.8394887772573649,-1.0604914638844625,0.28798116969222637,0.3664762559839303,1.4203459790194426,1.838628170288818,0.6819176319883336,2.398279937619065,1.9248109641254738,0.8386785606699144,5,SEKER
-0.827265769627946,-1.0105286193638425,-1.3911693665319398,-0.4357583823949611,-1.9724598055295819,-3.685503747003243,-0.8241753786728847,-1.0414097119248025,0.6975980639162473,-0.46588596695305734,0.22498658804447913,2.497622471826377,0.36955165544726226,3.097471074267923,2.691446447915925,0.7711413935056831,5,SEKER
-0.8052865161833704,-1.0753029286009257,-1.2478073520452346,-0.586774620019235,-1.5143048163207675,-2.042228719214804,-0.8068179597084192,-1.0053565142794156,0.5779579361787757,0.5176141991141379,1.2489788096790895,1.764053334093119,0.6043727229022614,2.2310859375017684,1.8401498001599002,0.9174177481738574,5,SEKER
-0.7839196877573745,-0.9738939690576234,-1.2742405673082986,-0.44059531487868764,-1.7429602655148284,-2.740195613492896,-0.7721701388411272,-0.9706859179129984,0.671302060451408,-2.2486922359544668,0.5095879846808314,2.0822109932734767,0.40325362908502327,2.511257888731647,2.204306244389354,-0.2023725146237055,5,SEKER
-0.7794285709544582,-1.0938205194498365,-1.3757498727280733,-0.2682808081025808,-2.1215342018381715,-4.535823180210276,-0.7824572578026926,-0.9634447512276277,0.47547588484349523,0.8046049417919042,1.8724343573980364,2.768597860305813,0.12021503409772129,3.267675062021154,3.016333164765339,0.9404061581963878,5,SEKER
-0.7746992888665387,-1.0249244627526706,-1.25090239377011,-0.4629334902534283,-1.6718908696885304,-2.503030268421993,-0.7763251966627366,-0.9558367027949538,0.5284097510891457,0.5070827594555946,1.1816673417662635,2.007321052438767,0.4062072876035647,2.407499109788799,2.117891189446335,0.9564467365330585,5,SEKER
-0.7679626136621641,-0.8614238228276595,-1.268504886428824,-0.4067987447479275,-1.7709729428315901,-2.839680020472037,-0.7639270402595469,-0.9450294296597634,0.25690033907285015,-0.6603492378670864,-0.34671308956772345,2.16428967720599,0.3219593532707676,2.557364342695589,2.299509704585605,0.9134142267395767,5,SEKER
-0.7665336219521454,-1.049142639919254,-1.2458188545822872,-0.4356965751809366,-1.6942216425566596,-2.5753305750618507,-0.7680485895503371,-0.9427414951667251,0.42610232709249396,0.4763447031544782,1.5732669690535237,2.0358661892359087,0.3699882901107928,2.4167465558015,2.1507785936859154,0.7514083461463545,5,SEKER
-0.7608857023363566,-1.0214128270635163,-1.2395560112807757,-0.4263748698282563,-1.6931550237247535,-2.571832622505232,-0.7614474089789091,-0.9337140775936439,0.44407751698815,0.2761021453480707,1.3565766524063476,2.038764011280903,0.35206790758296563,2.4054347606537596,2.1541207196173477,0.8913844721967845,5,SEKER
-0.755816184127004,-1.0388638866487443,-1.1965093287418154,-0.47653423287772123,-1.5505097295454118,-2.1411362363437525,-0.7589007606366323,-0.9256319276995513,0.6917676284816183,0.7866514464564125,1.626625063535859,1.8185779692339845,0.4283468805178148,2.1644249376552582,1.9020070885807507,0.9162685933163142,5,SEKER
